question,answer,category
File Size Limits,"VERSO deposits are limited to a maximum of 20 GB or less in size. Files may be zipped or compressed to fit within the limit. For file sizes greater than 20 GB, reach out to lib-verso@uidaho.edu. We have a means to store larger files externally to VERSO, but those require special procedures.",Policies
Deleted Items (Tombstone Policy),"VERSO can assign Digital Object Identifiers (DOIs) to its deposited items. In the event an item must be removed after DOI assignment, the page will continue to persist. It will provide a full bibliographic citation to resolve any future inquiries about the item and note or statement of unavailability, i.e. a description of why the item is no longer available. Questions about items no longer available can be posed to lib-verso@uidaho.edu.",Policies
VERSO Metadata License,"Metadata in VERSO is made available under two licenses depending on the type of metadata:

Bibliographic Metadata (CC0 1.0 Universal): Descriptive metadata for items in VERSO—including titles, authors, publication dates, subjects, identifiers, and similar bibliographic information—is dedicated to the public domain under the Creative Commons CC0 1.0 Universal Public Domain Dedication. This applies to metadata accessible via OAI-PMH harvesting, API access, and web interfaces. Users may freely copy, modify, and distribute this metadata without permission or attribution.

Enhanced Researcher Profile Information (All Rights Reserved by the Author): Researcher directory pages that include personalized content beyond standard bibliographic fields—such as research priorities, interests, project descriptions, and biographical narratives—are licensed as All Rights Reserved to the Researcher. Users may not copy, modify, and distribute this content without permission of the Researcher.

These licenses apply only to metadata created and maintained by VERSO. Deposited content (articles, datasets, theses, etc.) may have separate licenses as determined by content creators, publishers, or funders. For questions about metadata licensing, contact lib-verso@uidaho.edu",Policies
Emeritus Faculty,"VERSO aims to represent all active U of I researchers, including emeritus ones. For emeritus faculty, “active” is defined by having produced research output within the last five years. All non-active emeritus faculty profiles will be hidden unless the faculty member specifically requests their profile be made public.",Policies
Requests for Custom Collections,"VERSO collections are meant to highlight unique bodies of research that share a particular topic or property. In general, requests for collections should not duplicate the information on research profiles or academic unit pages and VERSO staff reserve the right to approve or disapprove requests for collections.",Policies
Who maintains the data in VERSO?,The data is maintained by librarians and staff at the University of Idaho Library.,FAQ
How can I request my own researcher profile in VERSO?,Submit a [new VERSO profile request form](https://uidaho.co1.qualtrics.com/jfe/form/SV_0rlPakZsYWSG4zc) 
What is the source for profile information?,"Profile data are compiled from the University of Idaho website and Banner. Publications come from Clarivate’s Central Discovery Index, which in turn, gathers from sources such as Web of Science, Pubmed, Crossref and other databases, and from individual CVs, used with consent of the faculty. Grant data comes from individual submissions. We do not currently use UI’s internal grant system, Veras, for data, although we hope to add that connection in the future. ",FAQ
How do I edit my profile?,"You can edit your profile by signing into VERSO (using your Vandal NetID and password)  and clicking the Edit Profile button that appears above your profile picture when you're signed in. For more in depth instructions, see our [profile guide](/verso/profile.html).  <br><br> You can also check out this in-depth guide on [Managing your Profile](https://knowledge.exlibrisgroup.com/Esploro/Product_Documentation/Esploro_Online_Help_(English)/250_Working_with_Esploro_Portal_and_Profiles/430_Managing_Profiles#).",FAQ
How do I add publications?,"Click the Add Content button at the top of the page. You'll need to be signed in to do this/see the button. Please see this [video guide](https://www.youtube.com/watch?v=4yzldDoHvbs) for more information on adding research output to your profile.",FAQ
How do I hide an output/publication?,"To hide a publication: 
- sign in to your account
- find the publication you'd like hidden 
- click on the option button for the publication (three vertical dots)
- and select 'Hide This Work'",FAQ
How do I edit an output/publication?,"Most edits of research outputs already in the system need to be done by the library system maintainers. To request an edit: 
- sign in to your account
- find the publication you'd like edited 
- click on the option button for the publication (three vertical dots)
- select 'Messages' and request an edit via the form that appears<br><br>You may also submit a request via the [VERSO request form](https://forms.office.com/r/Kef7ziHzHy).",FAQ
Can I designate a proxy to edit my profile?,"Yes. If you'd like to add a U of I staff member as a proxy, please submit a request via the [VERSO request form](https://forms.office.com/r/Kef7ziHzHy).<br/><br>To add someone already in the system (i.e. an approved Staff member, or a U of I researcher with a profile) sign into your account and go to Settings by clicking on the dropdown at the top right. Select the 'Researcher Proxies' option from the menu on the left. You can make anyone in the system a proxy by clicking 'add proxy' and adding their email to the form.",FAQ
How often is VERSO updated?,"Weekly, depending on the data available. New faculty and researchers are added annually or on request, and our overall list of personnel is checked irregularly.",FAQ
How do you deal with privacy?,"We only collect professional data related to research, scholarship, and faculty status at the University of Idaho. Contact information and images are obtained from the University of Idaho website. Academic citation data is provided through faculty consent, often sought through department chairs/deans. Third-party authors who may be listed are only present due to their co-authorship or co-grantsmanship with University of Idaho faculty. Student data is not deliberately included unless a specific written request by the student is made.  <br><br>We take individual privacy seriously. Any request to be removed from the public portal will be granted; contact Jeremy Kenyon ([jkenyon@uidaho.edu](mailto:jkenyon@uidaho.edu)) to do so. However, your scholarship data will still be in the system for use in university research analytics; request for removal must be submitted in writing to the Dean of Libraries.",FAQ
How can I get more answers about my VERSO profile?,Please submit a request via the [VERSO request form](https://forms.office.com/r/Kef7ziHzHy).,FAQ
